"participant","condition","block","trial_n","rt","accuracy"
546,2,1,24,681,1
546,2,1,25,417,1
546,2,1,26,644,1
546,2,1,27,420,1
546,2,1,28,589,1
546,2,1,29,429,1
546,2,1,30,653,1
546,2,1,31,652,1
546,2,1,32,710,1
546,2,1,33,636,1
546,2,1,34,715,1
546,2,1,35,674,1
546,2,1,36,639,1
546,2,1,37,450,1
546,2,1,38,610,1
546,2,1,39,571,1
546,2,1,40,580,1
546,2,2,1,665,1
546,2,2,2,557,1
546,2,2,3,789,1
546,2,2,4,1143,1
546,2,2,5,681,1
546,2,2,6,878,1
546,2,2,7,1024,1
546,2,2,8,803,1
546,2,2,9,964,1
546,2,2,10,753,1
546,2,2,11,841,1
546,2,2,12,620,1
546,2,2,13,612,1
546,2,2,14,617,1
546,2,2,15,817,1
546,2,2,16,1435,1
546,2,2,17,705,1
546,2,2,18,734,1
546,2,2,19,843,1
546,2,2,20,617,1
546,2,2,21,531,1
546,2,2,22,705,1
546,2,2,23,828,1
546,2,2,24,544,1
546,2,2,25,876,1
546,2,2,26,632,1
546,2,2,27,596,1
546,2,2,28,759,1
546,2,2,29,833,1
546,2,2,30,720,1
546,2,2,31,1484,1
546,2,2,32,1277,1
546,2,2,33,977,1
546,2,2,34,1385,1
546,2,2,35,717,1
546,2,2,36,834,1
546,2,2,37,737,1
546,2,2,38,602,1
546,2,2,39,598,1
546,2,2,40,498,1
544,2,1,1,425,1
544,2,1,2,454,1
544,2,1,3,426,1
544,2,1,4,485,1
544,2,1,5,466,1
544,2,1,6,705,1
544,2,1,7,416,1
544,2,1,8,496,1
544,2,1,9,477,1
544,2,1,10,455,1
544,2,1,11,377,1
544,2,1,12,466,1
544,2,1,13,496,1
544,2,1,14,675,1
544,2,1,15,426,1
544,2,1,16,436,1
544,2,1,17,396,1
544,2,1,18,387,1
544,2,1,19,465,1
544,2,1,20,367,1
544,2,1,21,805,0
544,2,1,22,855,0
544,2,1,23,550,1
544,2,1,24,366,1
544,2,1,25,437,1
544,2,1,26,426,1
544,2,1,27,426,1
544,2,1,28,615,1
544,2,1,29,496,1
544,2,1,30,506,1
544,2,1,31,486,1
544,2,1,32,796,1
544,2,1,33,426,1
544,2,1,34,496,1
544,2,1,35,606,1
544,2,1,36,496,1
544,2,1,37,486,1
544,2,1,38,447,1
544,2,1,39,485,1
544,2,1,40,426,1
544,2,2,1,467,1
544,2,2,2,376,1
544,2,2,3,465,1
544,2,2,4,436,1
544,2,2,5,356,1
544,2,2,6,356,1
544,2,2,7,505,1
544,2,2,8,536,1
544,2,2,9,717,1
544,2,2,10,756,1
544,2,2,11,575,1
544,2,2,12,546,1
544,2,2,13,585,1
544,2,2,14,416,1
544,2,2,15,416,1
544,2,2,16,576,1
544,2,2,17,477,1
544,2,2,18,426,1
544,2,2,19,346,1
544,2,2,20,436,1
544,2,2,21,426,1
544,2,2,22,585,1
544,2,2,23,568,1
544,2,2,24,406,1
544,2,2,25,506,1
544,2,2,26,496,1
544,2,2,27,477,1
544,2,2,28,465,1
544,2,2,29,386,1
544,2,2,30,457,1
544,2,2,31,705,0
544,2,2,32,634,1
544,2,2,33,506,1
544,2,2,34,506,1
544,2,2,35,406,1
544,2,2,36,475,1
544,2,2,37,396,1
544,2,2,38,496,1
544,2,2,39,516,1
544,2,2,40,617,1
548,2,1,1,540,1
548,2,1,2,529,1
548,2,1,3,481,1
548,2,1,4,443,1
548,2,1,5,440,1
548,2,1,6,381,1
548,2,1,7,633,1
548,2,1,8,451,1
548,2,1,9,489,1
548,2,1,10,418,1
548,2,1,11,619,1
548,2,1,12,526,1
548,2,1,13,443,1
548,2,1,14,434,1
548,2,1,15,382,1
548,2,1,16,545,1
548,2,1,17,508,1
548,2,1,18,573,1
548,2,1,19,570,1
548,2,1,20,499,1
548,2,1,21,435,1
548,2,1,22,445,1
548,2,1,23,407,1
548,2,1,24,488,1
548,2,1,25,474,1
548,2,1,26,503,1
548,2,1,27,526,1
548,2,1,28,480,1
548,2,1,29,486,1
